Date : 2023-12-08 18:10:43
Directory : e:\project\live
Total : 123 files,  17325 codes, 98 comments, 618 blanks, all 18041 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\project\live\components\shared\search\GlobalSearch.tsx      | TypeScript JSX     |         24 |          0 |          4 |         28 |
| e:\project\live\components\shared\search\LocalSearchbar.tsx    | TypeScript JSX     |         50 |          0 |          6 |         56 |
| e:\project\live\components\ui\badge.tsx                        | TypeScript JSX     |         31 |          0 |          6 |         37 |
| e:\project\live\components\ui\button.tsx                       | TypeScript JSX     |         51 |          0 |          6 |         57 |
| e:\project\live\components\ui\form.tsx                         | TypeScript JSX     |        152 |          0 |         25 |        177 |
| e:\project\live\components\ui\input.tsx                        | TypeScript JSX     |         21 |          0 |          5 |         26 |
| e:\project\live\components\ui\label.tsx                        | TypeScript JSX     |         21 |          0 |          6 |         27 |
| e:\project\live\components\ui\menubar.tsx                      | TypeScript JSX     |        217 |          0 |         20 |        237 |
| e:\project\live\components\ui\select.tsx                       | TypeScript JSX     |        146 |          0 |         15 |        161 |
| e:\project\live\components\ui\sheet.tsx                        | TypeScript JSX     |        125 |          0 |         16 |        141 |
| e:\project\live\constants\filters.ts                           | TypeScript         |         36 |          0 |          6 |         42 |
| e:\project\live\constants\index.ts                             | TypeScript         |         65 |          5 |          3 |         73 |
| e:\project\live\context\ThemeProvider.tsx                      | TypeScript JSX     |         57 |          4 |         14 |         75 |
| e:\project\live\database\answer.model.ts                       | TypeScript         |         19 |          0 |          5 |         24 |
| e:\project\live\database\interaction.model.ts                  | TypeScript         |         21 |          0 |          4 |         25 |
| e:\project\live\database\question.model.ts                     | TypeScript         |         25 |          0 |          5 |         30 |
| e:\project\live\database\tag.model.ts                          | TypeScript         |         17 |          0 |          5 |         22 |
| e:\project\live\database\user.model.ts                         | TypeScript         |         36 |          0 |          5 |         41 |
| e:\project\live\lib\actions\answer.action.ts                   | TypeScript         |         94 |          2 |         30 |        126 |
| e:\project\live\lib\actions\interaction.action.ts              | TypeScript         |         28 |          0 |          7 |         35 |
| e:\project\live\lib\actions\question.action.ts                 | TypeScript         |        134 |          6 |         31 |        171 |
| e:\project\live\lib\actions\shared.types.d.ts                  | TypeScript         |        133 |          0 |         26 |        159 |
| e:\project\live\lib\actions\tag.action.ts                      | TypeScript         |         69 |          2 |         16 |         87 |
| e:\project\live\lib\actions\user.action.ts                     | TypeScript         |        150 |          7 |         40 |        197 |
| e:\project\live\lib\mogoose.ts                                 | TypeScript         |         23 |          0 |          8 |         31 |
| e:\project\live\lib\utils.ts                                   | TypeScript         |         51 |          2 |          9 |         62 |
| e:\project\live\lib\validations.ts                             | TypeScript         |         12 |          0 |          3 |         15 |
| e:\project\live\middleware.ts                                  | TypeScript         |         17 |          3 |          3 |         23 |
| e:\project\live\next.config.js                                 | JavaScript         |         26 |          1 |          3 |         30 |
| e:\project\live\package-lock.json                              | JSON               |     12,620 |          0 |          1 |     12,621 |
| e:\project\live\package.json                                   | JSON               |         64 |          0 |          1 |         65 |
| e:\project\live\postcss.config.js                              | JavaScript         |          6 |          0 |          1 |          7 |
| e:\project\live\public\assets\icons\account.svg                | XML                |          4 |          0 |          0 |          4 |
| e:\project\live\public\assets\icons\arrow-left.svg             | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\arrow-right.svg            | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\arrow-up-right.svg         | XML                |          9 |          0 |          0 |          9 |
| e:\project\live\public\assets\icons\au.svg                     | XML                |         20 |          0 |          1 |         21 |
| e:\project\live\public\assets\icons\avatar.svg                 | XML                |          3 |          0 |          2 |          5 |
| e:\project\live\public\assets\icons\bronze-medal.svg           | XML                |         34 |          0 |          1 |         35 |
| e:\project\live\public\assets\icons\calendar.svg               | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\carbon-location.svg        | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\chevron-down.svg           | XML                |         10 |          0 |          2 |         12 |
| e:\project\live\public\assets\icons\chevron-right.svg          | XML                |         10 |          0 |          0 |         10 |
| e:\project\live\public\assets\icons\clock-2.svg                | XML                |         10 |          0 |          0 |         10 |
| e:\project\live\public\assets\icons\clock.svg                  | XML                |         10 |          0 |          1 |         11 |
| e:\project\live\public\assets\icons\close.svg                  | XML                |          3 |          0 |          1 |          4 |
| e:\project\live\public\assets\icons\computer.svg               | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\currency-dollar-circle.svg | XML                |         10 |          0 |          0 |         10 |
| e:\project\live\public\assets\icons\downvote.svg               | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\downvoted.svg              | XML                |          4 |          0 |          0 |          4 |
| e:\project\live\public\assets\icons\edit.svg                   | XML                |         11 |          0 |          1 |         12 |
| e:\project\live\public\assets\icons\eye.svg                    | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\gold-medal.svg             | XML                |         38 |          0 |          1 |         39 |
| e:\project\live\public\assets\icons\hamburger.svg              | XML                |          5 |          0 |          1 |          6 |
| e:\project\live\public\assets\icons\home.svg                   | XML                |         11 |          0 |          0 |         11 |
| e:\project\live\public\assets\icons\job-search.svg             | XML                |          3 |          0 |          1 |          4 |
| e:\project\live\public\assets\icons\like.svg                   | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\link.svg                   | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\location.svg               | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\message.svg                | XML                |          3 |          0 |          1 |          4 |
| e:\project\live\public\assets\icons\mingcute-down-line.svg     | XML                |         10 |          0 |          1 |         11 |
| e:\project\live\public\assets\icons\moon.svg                   | XML                |          3 |          0 |          1 |          4 |
| e:\project\live\public\assets\icons\question.svg               | XML                |          5 |          0 |          0 |          5 |
| e:\project\live\public\assets\icons\search.svg                 | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\sign-up.svg                | XML                |          5 |          0 |          0 |          5 |
| e:\project\live\public\assets\icons\silver-medal.svg           | XML                |         38 |          0 |          1 |         39 |
| e:\project\live\public\assets\icons\star-filled.svg            | XML                |         14 |          0 |          0 |         14 |
| e:\project\live\public\assets\icons\star-red.svg               | XML                |         14 |          0 |          0 |         14 |
| e:\project\live\public\assets\icons\star.svg                   | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\stars.svg                  | XML                |          9 |          0 |          0 |          9 |
| e:\project\live\public\assets\icons\suitcase.svg               | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\sun.svg                    | XML                |         11 |          0 |          0 |         11 |
| e:\project\live\public\assets\icons\tag.svg                    | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\trash.svg                  | XML                |          4 |          0 |          1 |          5 |
| e:\project\live\public\assets\icons\upvote.svg                 | XML                |          3 |          0 |          0 |          3 |
| e:\project\live\public\assets\icons\upvoted.svg                | XML                |          4 |          0 |          0 |          4 |
| e:\project\live\public\assets\icons\user.svg                   | XML                |          4 |          0 |          0 |          4 |
| e:\project\live\public\assets\icons\users.svg                  | XML                |         10 |          0 |          0 |         10 |
| e:\project\live\public\assets\images\default-logo.svg          | XML                |         11 |          0 |          1 |         12 |
| e:\project\live\public\assets\images\logo-dark.svg             | XML                |         18 |          0 |          1 |         19 |
| e:\project\live\public\assets\images\logo-light.svg            | XML                |         18 |          0 |          1 |         19 |
| e:\project\live\public\assets\images\site-logo.svg             | XML                |         16 |          0 |          1 |         17 |
| e:\project\live\public\next.svg                                | XML                |          1 |          0 |          0 |          1 |
| e:\project\live\public\vercel.svg                              | XML                |          1 |          0 |          0 |          1 |
| e:\project\live\styles\theme.css                               | CSS                |        186 |          1 |         60 |        247 |
| e:\project\live\tailwind.config.ts                             | TypeScript         |         82 |          9 |          2 |         93 |
| e:\project\live\tsconfig.json                                  | JSON with Comments |         25 |          2 |          1 |         28 |
| e:\project\live\types\index.d.ts                               | TypeScript         |         48 |          0 |          9 |         57 |
| Total                                                          |                    |     17,325 |         98 |        618 |     18,041 |
+----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
